timestamp,cluster_id,namespace,pod_name,cpu_requested,cpu_actual_peak,memory_requested,memory_actual_peak
2024-01-01,cluster-prod-1,payment-service,pay-pod-1,2.0,1.441,2.0,1.336
2024-01-01,cluster-prod-1,payment-service,pay-pod-2,1.0,0.244,2.0,0.951
2024-01-01,cluster-prod-2,payment-service,pay-pod-3,2.0,0.471,2.0,0.425
2024-01-01,cluster-prod-1,user-auth,auth-pod-1,2.0,1.426,1.0,0.309
2024-01-01,cluster-prod-1,user-auth,auth-pod-2,0.5,0.166,8.0,3.673
2024-01-01,cluster-dev-1,product-catalog,catalog-pod-1,1.5,0.776,1.0,0.228
2024-01-01,cluster-dev-1,product-catalog,catalog-pod-2,1.5,0.569,4.0,2.222
2024-01-01,cluster-prod-2,product-catalog,catalog-pod-3,4.0,2.058,8.0,3.762
2024-01-01,cluster-prod-2,order-management,order-pod-1,2.0,1.431,1.0,0.431
2024-01-01,cluster-dev-1,order-management,order-pod-2,4.0,1.154,4.0,1.856
2024-01-01,cluster-prod-2,inventory,inv-pod-1,2.0,0.894,2.0,1.491
2024-01-01,cluster-prod-1,inventory,inv-pod-2,2.0,0.674,1.0,0.541
2024-01-01,cluster-prod-2,inventory,inv-pod-3,1.0,0.615,1.0,0.437
2024-01-01,cluster-prod-2,notification-service,notif-pod-1,2.0,0.354,8.0,3.466
2024-01-01,cluster-prod-1,notification-service,notif-pod-2,4.0,2.008,0.5,0.184
2024-01-01,cluster-dev-1,analytics,analytics-pod-1,0.5,0.164,8.0,1.958
2024-01-01,cluster-dev-1,analytics,analytics-pod-2,0.5,0.307,4.0,1.504
2024-01-01,cluster-dev-1,reporting,report-pod-1,1.5,0.404,2.0,1.348
2024-01-01,cluster-dev-1,reporting,report-pod-2,4.0,2.823,1.0,0.27
2024-01-01,cluster-dev-1,ml-pipeline,ml-pod-1,0.5,0.262,1.0,0.257
2024-01-01,cluster-dev-1,ml-pipeline,ml-pod-2,4.0,2.351,2.0,1.073
2024-01-01,cluster-prod-2,ml-pipeline,ml-pod-3,4.0,2.932,2.0,1.313
2024-01-01,cluster-prod-1,data-ingestion,ingest-pod-1,1.5,0.695,1.0,0.215
2024-01-01,cluster-prod-2,data-ingestion,ingest-pod-2,1.5,0.253,0.5,0.194
2024-01-01,cluster-prod-1,dev-testing,dev-pod-1,4.0,1.198,8.0,4.191
2024-01-01,cluster-prod-2,dev-testing,dev-pod-2,2.0,1.431,2.0,1.234
2024-01-01,cluster-prod-2,dev-testing,dev-pod-3,1.0,0.635,0.5,0.132
2024-01-01,cluster-prod-2,staging,stage-pod-1,1.5,0.517,4.0,1.655
2024-01-01,cluster-prod-1,staging,stage-pod-2,0.5,0.157,2.0,0.913
2024-01-01,cluster-prod-1,logging,log-pod-1,0.5,0.166,2.0,0.901
2024-01-01,cluster-dev-1,logging,log-pod-2,0.5,0.111,4.0,1.386
2024-01-01,cluster-prod-2,monitoring,monitor-pod-1,0.5,0.196,0.5,0.176
2024-01-01,cluster-prod-1,monitoring,monitor-pod-2,1.0,0.577,8.0,2.967
2024-01-02,cluster-dev-1,payment-service,pay-pod-1,1.5,0.774,1.0,0.447
2024-01-02,cluster-prod-2,payment-service,pay-pod-2,4.0,1.428,0.5,0.172
2024-01-02,cluster-dev-1,payment-service,pay-pod-3,4.0,1.775,4.0,0.994
2024-01-02,cluster-prod-2,user-auth,auth-pod-1,0.5,0.293,8.0,4.635
2024-01-02,cluster-dev-1,user-auth,auth-pod-2,1.5,0.96,0.5,0.145
2024-01-02,cluster-dev-1,product-catalog,catalog-pod-1,4.0,2.66,4.0,2.426
2024-01-02,cluster-dev-1,product-catalog,catalog-pod-2,1.0,0.457,2.0,0.818
2024-01-02,cluster-dev-1,product-catalog,catalog-pod-3,2.0,1.429,1.0,0.703
2024-01-02,cluster-prod-2,order-management,order-pod-1,2.0,1.182,1.0,0.755
2024-01-02,cluster-prod-1,order-management,order-pod-2,1.0,0.305,4.0,1.22
2024-01-02,cluster-prod-2,inventory,inv-pod-1,2.0,0.936,1.0,0.798
2024-01-02,cluster-prod-1,inventory,inv-pod-2,2.0,0.97,2.0,0.626
2024-01-02,cluster-prod-2,inventory,inv-pod-3,1.5,0.855,2.0,1.428
2024-01-02,cluster-prod-2,notification-service,notif-pod-1,0.5,0.268,2.0,1.523
2024-01-02,cluster-prod-1,notification-service,notif-pod-2,2.0,0.997,0.5,0.299
2024-01-02,cluster-dev-1,analytics,analytics-pod-1,1.0,0.246,1.0,0.491
2024-01-02,cluster-prod-2,analytics,analytics-pod-2,4.0,1.138,0.5,0.105
2024-01-02,cluster-prod-1,reporting,report-pod-1,4.0,1.029,2.0,1.189
2024-01-02,cluster-dev-1,reporting,report-pod-2,2.0,0.911,8.0,3.936
2024-01-02,cluster-prod-1,ml-pipeline,ml-pod-1,1.5,0.94,0.5,0.273
2024-01-02,cluster-prod-1,ml-pipeline,ml-pod-2,4.0,1.152,2.0,1.086
2024-01-02,cluster-prod-2,ml-pipeline,ml-pod-3,0.5,0.373,8.0,2.942
2024-01-02,cluster-prod-1,data-ingestion,ingest-pod-1,1.5,0.898,8.0,6.056
2024-01-02,cluster-dev-1,data-ingestion,ingest-pod-2,4.0,1.974,4.0,2.847
2024-01-02,cluster-prod-2,dev-testing,dev-pod-1,4.0,1.524,0.5,0.195
2024-01-02,cluster-prod-2,dev-testing,dev-pod-2,0.5,0.193,1.0,0.758
2024-01-02,cluster-prod-2,dev-testing,dev-pod-3,1.0,0.519,1.0,0.352
2024-01-02,cluster-prod-2,staging,stage-pod-1,1.0,0.344,0.5,0.141
2024-01-02,cluster-prod-1,staging,stage-pod-2,4.0,1.312,1.0,0.686
2024-01-02,cluster-prod-1,logging,log-pod-1,4.0,0.796,0.5,0.288
2024-01-02,cluster-dev-1,logging,log-pod-2,2.0,1.364,4.0,2.189
2024-01-02,cluster-prod-2,monitoring,monitor-pod-1,1.5,0.644,8.0,5.627
2024-01-02,cluster-prod-1,monitoring,monitor-pod-2,0.5,0.086,2.0,0.552
2024-01-03,cluster-prod-2,payment-service,pay-pod-1,4.0,1.252,4.0,2.295
2024-01-03,cluster-prod-1,payment-service,pay-pod-2,4.0,1.067,2.0,1.165
2024-01-03,cluster-dev-1,payment-service,pay-pod-3,1.0,0.46,2.0,1.354
2024-01-03,cluster-prod-1,user-auth,auth-pod-1,1.5,0.62,1.0,0.215
2024-01-03,cluster-prod-1,user-auth,auth-pod-2,0.5,0.282,0.5,0.152
2024-01-03,cluster-prod-1,product-catalog,catalog-pod-1,1.0,0.294,0.5,0.298
2024-01-03,cluster-dev-1,product-catalog,catalog-pod-2,0.5,0.361,8.0,4.536
2024-01-03,cluster-prod-1,product-catalog,catalog-pod-3,1.5,0.448,2.0,1.309
2024-01-03,cluster-prod-2,order-management,order-pod-1,4.0,0.879,8.0,2.052
2024-01-03,cluster-prod-1,order-management,order-pod-2,2.0,0.51,1.0,0.658
2024-01-03,cluster-prod-2,inventory,inv-pod-1,2.0,0.508,8.0,3.513
2024-01-03,cluster-prod-2,inventory,inv-pod-2,4.0,2.728,4.0,1.699
2024-01-03,cluster-prod-1,inventory,inv-pod-3,1.5,0.678,0.5,0.262
2024-01-03,cluster-dev-1,notification-service,notif-pod-1,2.0,1.039,1.0,0.216
2024-01-03,cluster-prod-1,notification-service,notif-pod-2,2.0,0.991,1.0,0.544
2024-01-03,cluster-dev-1,analytics,analytics-pod-1,0.5,0.318,2.0,1.53
2024-01-03,cluster-prod-1,analytics,analytics-pod-2,0.5,0.363,1.0,0.324
2024-01-03,cluster-prod-2,reporting,report-pod-1,4.0,1.115,1.0,0.223
2024-01-03,cluster-prod-2,reporting,report-pod-2,1.5,0.528,1.0,0.391
2024-01-03,cluster-dev-1,ml-pipeline,ml-pod-1,1.0,0.164,1.0,0.356
2024-01-03,cluster-prod-1,ml-pipeline,ml-pod-2,2.0,1.131,1.0,0.577
2024-01-03,cluster-prod-2,ml-pipeline,ml-pod-3,2.0,0.802,8.0,2.954
2024-01-03,cluster-prod-2,data-ingestion,ingest-pod-1,4.0,2.401,2.0,1.589
2024-01-03,cluster-dev-1,data-ingestion,ingest-pod-2,0.5,0.308,8.0,2.745
